municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Navas del Rey                               ;2020/04/09 07:00:00;6;203,8;41;1392,66;992
Olmeda de las Fuentes                       ;2020/04/09 07:00:00;;0;;1244,81;1013
Bustarviejo                                 ;2020/04/09 07:00:00;;168,82;;225,1;284
Becerril de la Sierra                       ;2020/04/09 07:00:00;11;190,58;19;329,18;186
Fuenlabrada                                 ;2020/04/09 07:00:00;450;220,57;1095;536,73;587
Garganta de los Montes                      ;2020/04/09 07:00:00;;0;;364,96;626
Pinto                                       ;2020/04/09 07:00:00;54;101,6;157;295,38;1132
Alameda del Valle                           ;2020/04/09 07:00:00;;0;;0;35
Berzosa del Lozoya                          ;2020/04/09 07:00:00;;657,89;;657,89;203
Los Santos de la Humosa                     ;2020/04/09 07:00:00;;178,68;17;1012,51;1375
El Álamo                                    ;2020/04/09 07:00:00;11;111,41;26;263,34;40
Pelayos de la Presa                         ;2020/04/09 07:00:00;;187,62;15;562,85;1090
Galapagar                                   ;2020/04/09 07:00:00;58;174,86;122;367,8;611
Griñón                                      ;2020/04/09 07:00:00;32;277,15;56;485,02;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/09 07:00:00;;0;;1027,4;632
Aldea del Fresno                            ;2020/04/09 07:00:00;15;497,35;28;928,38;88
Carabaña                                    ;2020/04/09 07:00:00;;286,04;10;572,08;357
Talamanca de Jarama                         ;2020/04/09 07:00:00;13;415,07;18;574,71;1454
Chapinería                                  ;2020/04/09 07:00:00;;131,12;6;262,24;513
Ciempozuelos                                ;2020/04/09 07:00:00;44;171,43;137;533,78;409
Ajalvir                                     ;2020/04/09 07:00:00;;84,28;7;147,49;29
San Lorenzo de El Escorial                  ;2020/04/09 07:00:00;27;152,41;59;333,05;1317
Gascones                                    ;2020/04/09 07:00:00;;0;;0;647
San Martín de la Vega                       ;2020/04/09 07:00:00;18;88,39;56;274,98;1322
Móstoles                                    ;2020/04/09 07:00:00;736;336,77;1313;600,79;920
Leganés                                     ;2020/04/09 07:00:00;1272;645,99;2236;1135,56;745
Braojos                                     ;2020/04/09 07:00:00;;621,12;;1242,24;246
Cubas de la Sagra                           ;2020/04/09 07:00:00;8;144,27;16;288,55;506
Algete                                      ;2020/04/09 07:00:00;56;252,2;73;328,75;91
Mejorada del Campo                          ;2020/04/09 07:00:00;73;297,89;140;571,29;843
Loeches                                     ;2020/04/09 07:00:00;29;418,41;45;649,26;758
Parla                                       ;2020/04/09 07:00:00;275;201,16;560;409,64;1065
Fuentidueña de Tajo                         ;2020/04/09 07:00:00;;151,29;15;756,43;604
Ambite                                      ;2020/04/09 07:00:00;;601,2;;1002;112
Torremocha de Jarama                        ;2020/04/09 07:00:00;;498,13;8;996,26;1533
Anchuelo                                    ;2020/04/09 07:00:00;;130,89;6;785,34;127
Los Molinos                                 ;2020/04/09 07:00:00;18;449,21;35;873,47;875
Soto del Real                               ;2020/04/09 07:00:00;30;306,25;49;500,2;1441
Valverde de Alcalá                          ;2020/04/09 07:00:00;;1127,82;6;2255,64;1662
Fuente el Saz de Jarama                     ;2020/04/09 07:00:00;12;140,52;17;199,06;590
Horcajo de la Sierra-Aoslos                 ;2020/04/09 07:00:00;;1470,59;;4411,76;702
Valdeolmos-Alalpardo                        ;2020/04/09 07:00:00;;110,7;8;295,2;1625
Campo Real                                  ;2020/04/09 07:00:00;14;232,4;19;315,41;339
Valdeavero                                  ;2020/04/09 07:00:00;;189,93;7;664,77;1564
Villamanrique de Tajo                       ;2020/04/09 07:00:00;;0;;293,69;1739
Cobeña                                      ;2020/04/09 07:00:00;14;187,74;28;375,49;416
Fresnedillas de la Oliva                    ;2020/04/09 07:00:00;;73,53;;220,59;565
Valdilecha                                  ;2020/04/09 07:00:00;8;313,6;11;431,2;1659
El Berrueco                                 ;2020/04/09 07:00:00;7;1090,34;7;1090,34;210
Pezuela de las Torres                       ;2020/04/09 07:00:00;;192,31;;384,62;1111
Villar del Olmo                             ;2020/04/09 07:00:00;;199;;298,51;1795
Guadarrama                                  ;2020/04/09 07:00:00;45;284,85;76;481,07;685
San Martín de Valdeiglesias                 ;2020/04/09 07:00:00;21;246,22;46;539,34;1338
Torrelodones                                ;2020/04/09 07:00:00;59;227,5;100;385,59;1527
Boadilla del Monte                          ;2020/04/09 07:00:00;78;147,62;185;350,13;225
Torrejón de Velasco                         ;2020/04/09 07:00:00;6;151,86;15;379,65;1505
Villanueva de Perales                       ;2020/04/09 07:00:00;;414,94;;414,94;1782
Tielmes                                     ;2020/04/09 07:00:00;24;1065,25;28;1242,79;1467
San Sebastián de los Reyes                  ;2020/04/09 07:00:00;212;231,09;303;330,28;1343
Guadalix de la Sierra                       ;2020/04/09 07:00:00;14;234,7;25;419,11;679
Humanes de Madrid                           ;2020/04/09 07:00:00;33;160,13;74;359,08;730
Chinchón                                    ;2020/04/09 07:00:00;10;193,76;19;368,15;528
Cadalso de los Vidrios                      ;2020/04/09 07:00:00;;65,72;;164,31;318
Hoyo de Manzanares                          ;2020/04/09 07:00:00;10;130,53;19;248,01;724
Torrejón de la Calzada                      ;2020/04/09 07:00:00;8;92,8;20;231,99;1492
Estremera                                   ;2020/04/09 07:00:00;;164,74;;247,12;552
Corpa                                       ;2020/04/09 07:00:00;;479,62;6;1438,85;480
Meco                                        ;2020/04/09 07:00:00;35;250,32;111;793,88;838
Madarcos                                    ;2020/04/09 07:00:00;;0;;0;783
Zarzalejo                                   ;2020/04/09 07:00:00;;124,46;;186,68;1837
Arganda del Rey                             ;2020/04/09 07:00:00;153;264,05;260;448,71;148
Collado Mediano                             ;2020/04/09 07:00:00;8;121,71;11;167,35;468
Daganzo de Arriba                           ;2020/04/09 07:00:00;16;147,68;35;323,06;534
Manzanares El Real                          ;2020/04/09 07:00:00;16;184,59;23;265,34;822
Buitrago del Lozoya                         ;2020/04/09 07:00:00;;176,6;11;485,65;278
Valdelaguna                                 ;2020/04/09 07:00:00;;121,36;;121,36;1570
Valdepiélagos                               ;2020/04/09 07:00:00;;0;;0;1631
Casarrubuelos                               ;2020/04/09 07:00:00;;146,71;9;264,08;360
Miraflores de la Sierra                     ;2020/04/09 07:00:00;11;199,35;25;453,06;856
Paracuellos de Jarama                       ;2020/04/09 07:00:00;38;165,15;59;256,42;1049
El Vellón                                   ;2020/04/09 07:00:00;;352,11;11;774,65;1684
Lozoya                                      ;2020/04/09 07:00:00;;0;;236,97;761
Collado Villalba                            ;2020/04/09 07:00:00;133;191,99;235;339,23;474
Colmenarejo                                 ;2020/04/09 07:00:00;7;86,54;19;234,89;442
Villavieja del Lozoya                       ;2020/04/09 07:00:00;;0;;0;1821
Prádena del Rincón                          ;2020/04/09 07:00:00;;0;;0;1179
La Cabrera                                  ;2020/04/09 07:00:00;6;197,95;8;263,94;301
Sevilla la Nueva                            ;2020/04/09 07:00:00;15;150,77;25;251,28;1415
La Acebeda                                  ;2020/04/09 07:00:00;;0;;0;14
Redueña                                     ;2020/04/09 07:00:00;;0;;584,8;1219
Robledillo de la Jara                       ;2020/04/09 07:00:00;;1851,85;;1851,85;1245
La Serna del Monte                          ;2020/04/09 07:00:00;;0;;0;1381
Colmenar de Oreja                           ;2020/04/09 07:00:00;9;125,05;18;250,1;437
Rozas de Puerto Real                        ;2020/04/09 07:00:00;;0;;0;1283
Valdemanco                                  ;2020/04/09 07:00:00;;0;;0;1586
Brunete                                     ;2020/04/09 07:00:00;8;70,85;46;407,37;262
Titulcia                                    ;2020/04/09 07:00:00;;301,81;;503,02;1473
Villa del Prado                             ;2020/04/09 07:00:00;34;515,39;42;636,65;1718
Lozoyuela-Navas-Sieteiglesias               ;2020/04/09 07:00:00;;261,55;;261,55;9015
Quijorna                                    ;2020/04/09 07:00:00;6;305,65;12;611,31;1198
Valdemoro                                   ;2020/04/09 07:00:00;82;107,33;528;691,12;1610
Tres Cantos                                 ;2020/04/09 07:00:00;149;310,09;235;489,07;9036
Torrelaguna                                 ;2020/04/09 07:00:00;9;177,87;12;237,15;1512
Rivas-Vaciamadrid                           ;2020/04/09 07:00:00;241;279,81;427;495,76;1230
El Atazar                                   ;2020/04/09 07:00:00;;0;;0;164
Pedrezuela                                  ;2020/04/09 07:00:00;9;162,63;14;252,98;1087
Santa María de la Alameda                   ;2020/04/09 07:00:00;;0;;0;1356
Horcajuelo de la Sierra                     ;2020/04/09 07:00:00;;0;;0;719
Arroyomolinos                               ;2020/04/09 07:00:00;65;249,15;110;421,63;151
Moralzarzal                                 ;2020/04/09 07:00:00;35;268,78;48;368,61;908
Canencia                                    ;2020/04/09 07:00:00;;271;;271;344
Villarejo de Salvanés                       ;2020/04/09 07:00:00;15;196,82;31;406,77;1809
Serranillos del Valle                       ;2020/04/09 07:00:00;8;210,58;21;552,78;1408
Villaviciosa de Odón                        ;2020/04/09 07:00:00;66;237,92;134;483,06;1816
Camarma de Esteruelas                       ;2020/04/09 07:00:00;12;168,61;35;491,78;323
Robledo de Chavela                          ;2020/04/09 07:00:00;7;185,68;10;265,25;1258
Patones                                     ;2020/04/09 07:00:00;;436,68;;655,02;1071
Navalagamella                               ;2020/04/09 07:00:00;;44,44;;222,22;954
Rascafría                                   ;2020/04/09 07:00:00;;271,55;;339,44;1202
El Boalo                                    ;2020/04/09 07:00:00;15;237,15;22;347,83;231
Majadahonda                                 ;2020/04/09 07:00:00;128;164,17;331;424,53;800
Batres                                      ;2020/04/09 07:00:00;;224,72;8;1797,75;170
Alcobendas                                  ;2020/04/09 07:00:00;265;218,62;438;361,34;66
Alcalá de Henares                           ;2020/04/09 07:00:00;655;313,33;1966;940,46;53
Colmenar Viejo                              ;2020/04/09 07:00:00;146;289,67;223;442,43;455
San Fernando de Henares                     ;2020/04/09 07:00:00;148;352,15;284;675,76;1300
Villalbilla                                 ;2020/04/09 07:00:00;20;178,97;76;680,09;1723
El Escorial                                 ;2020/04/09 07:00:00;18;108,28;42;252,66;549
Colmenar del Arroyo                         ;2020/04/09 07:00:00;;0;;259,24;421
Torrejón de Ardoz                           ;2020/04/09 07:00:00;278;201,03;775;560,42;1489
Piñuécar-Gandullas                          ;2020/04/09 07:00:00;;0;;0;1147
Brea de Tajo                                ;2020/04/09 07:00:00;;272,11;;408,16;259
El Molar                                    ;2020/04/09 07:00:00;16;166,77;23;239,73;869
Belmonte de Tajo                            ;2020/04/09 07:00:00;;0;;144,61;199
Torres de la Alameda                        ;2020/04/09 07:00:00;23;279,13;56;679,61;1548
Somosierra                                  ;2020/04/09 07:00:00;;1612,9;;1612,9;1436
Alpedrete                                   ;2020/04/09 07:00:00;35;242,5;71;491,93;105
Orusco de Tajuña                            ;2020/04/09 07:00:00;12;1086,96;16;1449,28;1028
La Hiruela                                  ;2020/04/09 07:00:00;;9090,91;;9090,91;698
Cervera de Buitrago                         ;2020/04/09 07:00:00;;925,93;;925,93;395
Getafe                                      ;2020/04/09 07:00:00;367;191,75;778;406,48;650
Ribatejada                                  ;2020/04/09 07:00:00;;227,79;;227,79;1224
Villaconejos                                ;2020/04/09 07:00:00;;22,54;8;180,34;1701
Valdetorres de Jarama                       ;2020/04/09 07:00:00;;125,72;11;276,59;1646
Madrid-Retiro                               ;2020/04/08 07:00:00;496;513,29;983;1017,26;79603
Madrid-Salamanca                            ;2020/04/08 07:00:00;556;353,37;1076;683,86;79604
Madrid-Centro                               ;2020/04/08 07:00:00;408;286,86;708;497,79;79601
Madrid-Arganzuela                           ;2020/04/08 07:00:00;643;360,42;1066;597,53;79602
Madrid-Chamartín                            ;2020/04/08 07:00:00;575;391,46;1058;720,29;79605
Madrid-Tetuán                               ;2020/04/08 07:00:00;832;508,94;1450;886,97;79606
Madrid-Chamberí                             ;2020/04/08 07:00:00;593;399,38;902;607,48;79607
Madrid-Fuencarral-El Pardo                  ;2020/04/08 07:00:00;1157;515,28;1962;873,79;79608
Madrid-Moncloa-Aravaca                      ;2020/04/08 07:00:00;440;346,77;771;607,64;79609
Madrid-Latina                               ;2020/04/08 07:00:00;1088;435,95;1685;675,16;79610
Madrid-Carabanchel                          ;2020/04/08 07:00:00;889;360,77;1635;663,51;79611
Madrid-Usera                                ;2020/04/08 07:00:00;535;360,39;954;642,63;79612
Madrid-Puente de Vallecas                   ;2020/04/08 07:00:00;1230;480,97;2175;850,49;79613
Madrid-San Blas - Canillejas                ;2020/04/08 07:00:00;559;402,52;988;711,43;79620
Madrid-Barajas                              ;2020/04/08 07:00:00;168;318,9;303;575,16;79621
Madrid-Moratalaz                            ;2020/04/08 07:00:00;540;411,71;930;709,06;79614
Madrid-Ciudad Lineal                        ;2020/04/08 07:00:00;816;308,32;1454;549,39;79615
Madrid-Hortaleza                            ;2020/04/08 07:00:00;689;326,12;1203;569,4;79616
Madrid-Villaverde                           ;2020/04/08 07:00:00;490;308,09;963;605,5;79617
Madrid-Villa de Vallecas                    ;2020/04/08 07:00:00;476;446,41;955;895,63;79618
Madrid-Vicálvaro                            ;2020/04/08 07:00:00;305;579,33;579;1099,78;79619
Pozuelo de Alarcón                          ;2020/04/08 07:00:00;159;180,07;414;468,86;1150
Alcorcón                                    ;2020/04/08 07:00:00;723;413,52;1091;624;72
Navalcarnero                                ;2020/04/08 07:00:00;57;201,92;107;379,04;967
San Agustín del Guadalix                    ;2020/04/08 07:00:00;19;130,47;30;206;1296
Las Rozas de Madrid                         ;2020/04/08 07:00:00;270;281,7;459;478,88;1277
Moraleja de Enmedio                         ;2020/04/08 07:00:00;6;112,02;16;298,73;894
Valdaracete                                 ;2020/04/08 07:00:00;;658,98;;658,98;1551
Pozuelo del Rey                             ;2020/04/08 07:00:00;;0;;202,02;1163
Puebla de la Sierra                         ;2020/04/08 07:00:00;;0;;0;1185
Perales de Tajuña                           ;2020/04/08 07:00:00;;107,44;6;161,16;1104
Valdemorillo                                ;2020/04/08 07:00:00;16;132;22;181,5;1603
Navalafuente                                ;2020/04/08 07:00:00;;251,89;;377,83;941
Velilla de San Antonio                      ;2020/04/08 07:00:00;25;200,11;45;360,2;1678
Villanueva de la Cañada                     ;2020/04/08 07:00:00;30;123,03;62;254,27;1760
Villanueva del Pardillo                     ;2020/04/08 07:00:00;11;65,13;55;325,66;1776
Nuevo Baztán                                ;2020/04/08 07:00:00;7;105,31;22;330,98;1006
Villamantilla                               ;2020/04/08 07:00:00;;118,48;7;829,38;1757
Villamanta                                  ;2020/04/08 07:00:00;;187,71;;234,63;1744
Cabanillas de la Sierra                     ;2020/04/08 07:00:00;;518,13;8;1381,69;297
Cenicientos                                 ;2020/04/08 07:00:00;;50,99;13;662,93;376
Puentes Viejas                              ;2020/04/08 07:00:00;;0;;218,82;9020
Aranjuez                                    ;2020/04/08 07:00:00;187;294,81;329;518,67;133
Cercedilla                                  ;2020/04/08 07:00:00;22;293,84;47;627,75;382
Santorcaz                                   ;2020/04/08 07:00:00;;176,68;7;1236,75;1369
Coslada                                     ;2020/04/08 07:00:00;302;341,62;575;650,43;493
Morata de Tajuña                            ;2020/04/08 07:00:00;24;309;76;978,5;915
Robregordo                                  ;2020/04/08 07:00:00;;0;;0;1261
Navarredonda y San Mamés                    ;2020/04/08 07:00:00;;0;;1204,82;973
Venturada                                   ;2020/04/08 07:00:00;;70,82;;70,82;1697
Navacerrada                                 ;2020/04/08 07:00:00;7;251,08;9;322,81;936
Montejo de la Sierra                        ;2020/04/08 07:00:00;;279,33;;279,33;881
Fresno de Torote                            ;2020/04/08 07:00:00;7;582,85;13;1082,43;571
Pinilla del Valle                           ;2020/04/08 07:00:00;;0;;0;1126
Valdemaqueda                                ;2020/04/08 07:00:00;;116,96;;233,92;1599
Navas del Rey                               ;2020/04/08 07:00:00;6;203,8;41;1392,66;992
Olmeda de las Fuentes                       ;2020/04/08 07:00:00;;414,94;;1244,81;1013
Bustarviejo                                 ;2020/04/08 07:00:00;;225,1;;225,1;284
Becerril de la Sierra                       ;2020/04/08 07:00:00;9;155,93;17;294,53;186
Fuenlabrada                                 ;2020/04/08 07:00:00;516;252,92;1067;523;587
Garganta de los Montes                      ;2020/04/08 07:00:00;;0;;364,96;626
Pinto                                       ;2020/04/08 07:00:00;66;124,17;153;287,85;1132
Alameda del Valle                           ;2020/04/08 07:00:00;;0;;0;35
Berzosa del Lozoya                          ;2020/04/08 07:00:00;;657,89;;657,89;203
Los Santos de la Humosa                     ;2020/04/08 07:00:00;;238,24;17;1012,51;1375
El Álamo                                    ;2020/04/08 07:00:00;13;131,67;26;263,34;40
Pelayos de la Presa                         ;2020/04/08 07:00:00;;187,62;15;562,85;1090
Galapagar                                   ;2020/04/08 07:00:00;57;171,84;115;346,7;611
Griñón                                      ;2020/04/08 07:00:00;33;285,81;53;459,03;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/08 07:00:00;;0;;1027,4;632
Aldea del Fresno                            ;2020/04/08 07:00:00;14;464,19;27;895,23;88
Carabaña                                    ;2020/04/08 07:00:00;;286,04;10;572,08;357
Talamanca de Jarama                         ;2020/04/08 07:00:00;12;383,14;17;542,78;1454
Chapinería                                  ;2020/04/08 07:00:00;;131,12;6;262,24;513
Ciempozuelos                                ;2020/04/08 07:00:00;53;206,5;138;537,68;409
Ajalvir                                     ;2020/04/08 07:00:00;;84,28;7;147,49;29
San Lorenzo de El Escorial                  ;2020/04/08 07:00:00;25;141,12;53;299,18;1317
Gascones                                    ;2020/04/08 07:00:00;;0;;0;647
San Martín de la Vega                       ;2020/04/08 07:00:00;29;142,4;56;274,98;1322
Móstoles                                    ;2020/04/08 07:00:00;806;368,8;1262;577,45;920
Leganés                                     ;2020/04/08 07:00:00;1289;654,62;2160;1096,96;745
Braojos                                     ;2020/04/08 07:00:00;;621,12;;1242,24;246
Cubas de la Sagra                           ;2020/04/08 07:00:00;6;108,21;13;234,45;506
Algete                                      ;2020/04/08 07:00:00;55;247,69;71;319,75;91
Mejorada del Campo                          ;2020/04/08 07:00:00;73;297,89;137;559,05;843
Loeches                                     ;2020/04/08 07:00:00;30;432,84;44;634,83;758
Parla                                       ;2020/04/08 07:00:00;289;211,4;547;400,13;1065
Fuentidueña de Tajo                         ;2020/04/08 07:00:00;;252,14;15;756,43;604
Ambite                                      ;2020/04/08 07:00:00;;601,2;;1002;112
Torremocha de Jarama                        ;2020/04/08 07:00:00;;498,13;8;996,26;1533
Anchuelo                                    ;2020/04/08 07:00:00;;130,89;6;785,34;127
Los Molinos                                 ;2020/04/08 07:00:00;15;374,34;32;798,6;875
Soto del Real                               ;2020/04/08 07:00:00;33;336,87;48;490;1441
Valverde de Alcalá                          ;2020/04/08 07:00:00;;1127,82;6;2255,64;1662
Fuente el Saz de Jarama                     ;2020/04/08 07:00:00;11;128,81;16;187,35;590
Horcajo de la Sierra-Aoslos                 ;2020/04/08 07:00:00;;0;;2941,18;702
Valdeolmos-Alalpardo                        ;2020/04/08 07:00:00;6;221,4;8;295,2;1625
Campo Real                                  ;2020/04/08 07:00:00;14;232,4;18;298,8;339
Valdeavero                                  ;2020/04/08 07:00:00;;189,93;7;664,77;1564
Villamanrique de Tajo                       ;2020/04/08 07:00:00;;146,84;;293,69;1739
Cobeña                                      ;2020/04/08 07:00:00;15;201,15;27;362,08;416
Fresnedillas de la Oliva                    ;2020/04/08 07:00:00;;73,53;;220,59;565
Valdilecha                                  ;2020/04/08 07:00:00;8;313,6;10;392;1659
El Berrueco                                 ;2020/04/08 07:00:00;6;934,58;6;934,58;210
Pezuela de las Torres                       ;2020/04/08 07:00:00;;192,31;;384,62;1111
Villar del Olmo                             ;2020/04/08 07:00:00;;298,51;;298,51;1795
Guadarrama                                  ;2020/04/08 07:00:00;44;278,52;70;443,09;685
San Martín de Valdeiglesias                 ;2020/04/08 07:00:00;20;234,49;46;539,34;1338
Torrelodones                                ;2020/04/08 07:00:00;61;235,21;97;374,03;1527
Boadilla del Monte                          ;2020/04/08 07:00:00;62;117,34;168;317,96;225
Torrejón de Velasco                         ;2020/04/08 07:00:00;8;202,48;15;379,65;1505
Villanueva de Perales                       ;2020/04/08 07:00:00;;414,94;;414,94;1782
Tielmes                                     ;2020/04/08 07:00:00;26;1154,02;28;1242,79;1467
San Sebastián de los Reyes                  ;2020/04/08 07:00:00;207;225,64;288;313,93;1343
Guadalix de la Sierra                       ;2020/04/08 07:00:00;16;268,23;23;385,58;679
Humanes de Madrid                           ;2020/04/08 07:00:00;38;184,39;73;354,23;730
Chinchón                                    ;2020/04/08 07:00:00;10;193,76;16;310,02;528
Cadalso de los Vidrios                      ;2020/04/08 07:00:00;;164,31;;164,31;318
Hoyo de Manzanares                          ;2020/04/08 07:00:00;11;143,58;19;248,01;724
Torrejón de la Calzada                      ;2020/04/08 07:00:00;7;81,2;18;208,79;1492
Estremera                                   ;2020/04/08 07:00:00;;247,12;;329,49;552
Corpa                                       ;2020/04/08 07:00:00;;479,62;6;1438,85;480
Meco                                        ;2020/04/08 07:00:00;37;264,63;110;786,73;838
Madarcos                                    ;2020/04/08 07:00:00;;0;;0;783
Zarzalejo                                   ;2020/04/08 07:00:00;;124,46;;186,68;1837
Arganda del Rey                             ;2020/04/08 07:00:00;167;288,21;254;438,35;148
Collado Mediano                             ;2020/04/08 07:00:00;8;121,71;11;167,35;468
Daganzo de Arriba                           ;2020/04/08 07:00:00;16;147,68;34;313,83;534
Manzanares El Real                          ;2020/04/08 07:00:00;17;196,12;23;265,34;822
Buitrago del Lozoya                         ;2020/04/08 07:00:00;;220,75;11;485,65;278
Valdelaguna                                 ;2020/04/08 07:00:00;;121,36;;121,36;1570
Valdepiélagos                               ;2020/04/08 07:00:00;;0;;0;1631
Casarrubuelos                               ;2020/04/08 07:00:00;;146,71;9;264,08;360
Miraflores de la Sierra                     ;2020/04/08 07:00:00;9;163,1;23;416,82;856
Paracuellos de Jarama                       ;2020/04/08 07:00:00;35;152,11;55;239,04;1049
El Vellón                                   ;2020/04/08 07:00:00;;352,11;11;774,65;1684
Lozoya                                      ;2020/04/08 07:00:00;;0;;236,97;761
Collado Villalba                            ;2020/04/08 07:00:00;131;189,1;221;319,02;474
Colmenarejo                                 ;2020/04/08 07:00:00;8;98,9;19;234,89;442
Villavieja del Lozoya                       ;2020/04/08 07:00:00;;0;;0;1821
Prádena del Rincón                          ;2020/04/08 07:00:00;;0;;0;1179
La Cabrera                                  ;2020/04/08 07:00:00;6;197,95;8;263,94;301
Sevilla la Nueva                            ;2020/04/08 07:00:00;12;120,62;22;221,13;1415
La Acebeda                                  ;2020/04/08 07:00:00;;0;;0;14
Redueña                                     ;2020/04/08 07:00:00;;0;;584,8;1219
Robledillo de la Jara                       ;2020/04/08 07:00:00;;1851,85;;1851,85;1245
La Serna del Monte                          ;2020/04/08 07:00:00;;0;;0;1381
Colmenar de Oreja                           ;2020/04/08 07:00:00;9;125,05;18;250,1;437
Rozas de Puerto Real                        ;2020/04/08 07:00:00;;0;;0;1283
Valdemanco                                  ;2020/04/08 07:00:00;;0;;0;1586
Brunete                                     ;2020/04/08 07:00:00;8;70,85;46;407,37;262
Titulcia                                    ;2020/04/08 07:00:00;;301,81;;503,02;1473
Villa del Prado                             ;2020/04/08 07:00:00;30;454,75;37;560,86;1718
Lozoyuela-Navas-Sieteiglesias               ;2020/04/08 07:00:00;;174,37;;174,37;9015
Quijorna                                    ;2020/04/08 07:00:00;6;305,65;12;611,31;1198
Valdemoro                                   ;2020/04/08 07:00:00;129;168,85;523;684,57;1610
Tres Cantos                                 ;2020/04/08 07:00:00;151;314,26;222;462,02;9036
Torrelaguna                                 ;2020/04/08 07:00:00;10;197,63;12;237,15;1512
Rivas-Vaciamadrid                           ;2020/04/08 07:00:00;258;299,54;421;488,79;1230
El Atazar                                   ;2020/04/08 07:00:00;;0;;0;164
Pedrezuela                                  ;2020/04/08 07:00:00;7;126,49;12;216,84;1087
Santa María de la Alameda                   ;2020/04/08 07:00:00;;0;;0;1356
Horcajuelo de la Sierra                     ;2020/04/08 07:00:00;;0;;0;719
Arroyomolinos                               ;2020/04/08 07:00:00;74;283,64;105;402,47;151
Moralzarzal                                 ;2020/04/08 07:00:00;33;253,42;44;337,89;908
Canencia                                    ;2020/04/08 07:00:00;;271;;271;344
Villarejo de Salvanés                       ;2020/04/08 07:00:00;18;236,19;31;406,77;1809
Serranillos del Valle                       ;2020/04/08 07:00:00;10;263,23;20;526,45;1408
Villaviciosa de Odón                        ;2020/04/08 07:00:00;68;245,13;130;468,64;1816
Camarma de Esteruelas                       ;2020/04/08 07:00:00;12;168,61;35;491,78;323
Robledo de Chavela                          ;2020/04/08 07:00:00;7;185,68;10;265,25;1258
Patones                                     ;2020/04/08 07:00:00;;436,68;;655,02;1071
Navalagamella                               ;2020/04/08 07:00:00;;88,89;;222,22;954
Rascafría                                   ;2020/04/08 07:00:00;;271,55;;339,44;1202
El Boalo                                    ;2020/04/08 07:00:00;15;237,15;22;347,83;231
Majadahonda                                 ;2020/04/08 07:00:00;136;174,43;321;411,7;800
Batres                                      ;2020/04/08 07:00:00;;449,44;8;1797,75;170
Alcobendas                                  ;2020/04/08 07:00:00;286;235,95;425;350,62;66
Alcalá de Henares                           ;2020/04/08 07:00:00;690;330,07;1950;932,81;53
Colmenar Viejo                              ;2020/04/08 07:00:00;150;297,6;214;424,58;455
San Fernando de Henares                     ;2020/04/08 07:00:00;145;345,02;266;632,93;1300
Villalbilla                                 ;2020/04/08 07:00:00;24;214,77;76;680,09;1723
El Escorial                                 ;2020/04/08 07:00:00;18;108,28;42;252,66;549
Colmenar del Arroyo                         ;2020/04/08 07:00:00;;129,62;;259,24;421
Torrejón de Ardoz                           ;2020/04/08 07:00:00;307;222;769;556,08;1489
Piñuécar-Gandullas                          ;2020/04/08 07:00:00;;0;;0;1147
Brea de Tajo                                ;2020/04/08 07:00:00;;408,16;;408,16;259
El Molar                                    ;2020/04/08 07:00:00;14;145,92;21;218,89;869
Belmonte de Tajo                            ;2020/04/08 07:00:00;;72,31;;144,61;199
Torres de la Alameda                        ;2020/04/08 07:00:00;20;242,72;52;631,07;1548
Somosierra                                  ;2020/04/08 07:00:00;;1612,9;;1612,9;1436
Alpedrete                                   ;2020/04/08 07:00:00;39;270,21;69;478,07;105
Orusco de Tajuña                            ;2020/04/08 07:00:00;13;1177,54;16;1449,28;1028
La Hiruela                                  ;2020/04/08 07:00:00;;9090,91;;9090,91;698
Cervera de Buitrago                         ;2020/04/08 07:00:00;;925,93;;925,93;395
Getafe                                      ;2020/04/08 07:00:00;383;200,11;754;393,94;650
Ribatejada                                  ;2020/04/08 07:00:00;;227,79;;227,79;1224
Villaconejos                                ;2020/04/08 07:00:00;;45,09;8;180,34;1701
Valdetorres de Jarama                       ;2020/04/08 07:00:00;;125,72;11;276,59;1646
